agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"02","Verkehrsbetriebe Karlsruhe GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"32","Busverkehr Nordschwarzwald GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"01","Albtal-Verkehrs-Gesellschaft mbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"17","Regionalbusverkehr Südwest GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"18","Stadtbus Bruchsal","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"19","Striebig Reisen GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"24","Friedrich Wöhrle","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"03","Stadtwerke Baden-Baden","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"22","Verkehrsgesellschaft Rastatt mbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"20","Südwestdeutsche Landesverkehrs-AG","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"23","Nahverkehr Mittelbaden Walz GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"29","Taxi-Holl","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"30","Taxi Bitterwolf","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"34","Friedrich Müller Omnibusunternehmen GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"11","Faller Reisen GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"43","Taxi-Funk-Zentrale Karlsruhe eG","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"40","Kraichtal Bus GbR","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
"12","Hassis Reisen GmbH","http://www.kvv.de","Europe/Berlin","DE","+49 721 6107 5885"
